"epoch","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step__MAX","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - val_emd_loss","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - val_emd_loss__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - val_emd_loss__MAX","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - emd_loss","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - emd_loss__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - emd_loss__MAX"
"0","21.5","21","22","175.83946228027344","175.83946228027344","175.83946228027344","161.76693725585938","161.76693725585938","161.76693725585938"
"10","243.5","243","244","127.11308288574219","127.11308288574219","127.11308288574219","112.7393798828125","112.7393798828125","112.7393798828125"
"20","465.5","465","466","112.91496276855469","112.91496276855469","112.91496276855469","94.8403549194336","94.8403549194336","94.8403549194336"
"30","687.5","687","688","97.6168212890625","97.6168212890625","97.6168212890625","82.76778411865234","82.76778411865234","82.76778411865234"
"40","909.5","909","910","91.03640747070312","91.03640747070312","91.03640747070312","74.8031234741211","74.8031234741211","74.8031234741211"
"50","1131.5","1131","1132","93.08787536621094","93.08787536621094","93.08787536621094","67.06695556640625","67.06695556640625","67.06695556640625"
"60","1353.5","1353","1354","81.89852905273438","81.89852905273438","81.89852905273438","61.5221061706543","61.5221061706543","61.5221061706543"
"70","1575.5","1575","1576","82.13768005371094","82.13768005371094","82.13768005371094","58.435237884521484","58.435237884521484","58.435237884521484"
"80","1797.5","1797","1798","81.43252563476562","81.43252563476562","81.43252563476562","54.63621139526367","54.63621139526367","54.63621139526367"
"90","2019.5","2019","2020","82.08348083496094","82.08348083496094","82.08348083496094","51.8644905090332","51.8644905090332","51.8644905090332"